identity,vote_identity,name,rank,activated_stake,stake_weight,stake_ratio,commission,is_jito,jito_commission_bps,version,delinquent,skip_rate,wiz_skip_rate,vote_success,uptime,wiz_score,above_halt_line,first_epoch_with_stake,first_epoch_distance,ip_city,ip_country,ip_asn,ip_org,asn_concentration,tpu_ip,tpu_ip_concentration,city_concentration,epoch,apy_estimate,staking_apy,jito_apy,total_apy,description,website
BJvrWSfonXnS2Km8iA9KLY6D6vS3GcsaUwUNPFBumTca,GdVBPczdFaPf1GXvx8ByHeA1ZHAHwwmdQEPihH74SXm9,rossi-mainnet,586,55666.569260543,0.01,0.0034,4,True,0.0,3.1.13,False,0.0,0.0,99.53,99.71,62.16,False,244.0,712,Amsterdam,Netherlands,AS58061,Iroko Networks Corporation,0.12,63.254.166.74,6.69,19.69,956,5.77,5.71,0.11,5.82,Swiss made validator | Bootstrapped with https://sv-manager.thevalidators.io, https://solana.thevalidators.io
6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8,BbM5kJgrwEj3tYFfBPnjcARB54wDUHkXmLUTkazUmt2x,Solana Validator,587,772374.347464208,0.18,0.0476,5,True,10000.0,3.1.13,False,0.0,0.0,99.36,99.84,61.96,False,744.0,212,Frankfurt,Germany,AS395201,Allnodes Inc.,6.48,134.65.193.112,0.0,26.02,956,5.71,5.73,0.0,5.73,,https://tangem.com
BCJN2vZFAHDYmufBDcbD5UAQHSyerXfc6UQkgX3mSWuh,647eBPzfDqmSVEg5cQofnjzeFr7PfwvHcDEcb22JWA5X,TomYum,588,59640.156617951005,0.01,0.0037,0,True,0.0,4.0.0-beta.6,False,0.0,0.0,99.68,99.86,61.91,False,899.0,57,Nuremberg,Germany,AS262287,Latitude.sh,1.99,64.34.87.167,0.0,0.0,956,6.02,5.77,0.11,5.88,Performant Solana Validator,https://tomyumyum.xyz
PuRposE4utktenW49N8DCtVzdVEwYrmsrroboEUram4,purPoSEsip98bLpbh4K7GKZYSdRmEJJKdxSvL6sg3uX,,589,15822.617508755002,0.0,0.001,5,True,1000.0,3.1.13,False,0.0,0.0,96.79,99.96,61.8,False,811.0,145,Toronto,Canada,AS53999,Priority Colo INC,0.0,173.237.209.131,0.0,4.04,956,5.55,5.74,0.1,5.84,,
UPSCQNqdbiaqrQou9X9y8mr43ZHzvoNpKC26Mo7GubF,A9V5e8ZLwQ2ArKZnCcrmz9Q92pDCkUXE5tqJmJDZkCMo,,590,350714.54816237104,0.08,0.0216,8,True,800.0,3.1.13,False,0.0,0.0,99.5,100.0,61.79,False,502.0,454,Frankfurt,Germany,AS396356,Saveincloud Hospedagem Na Internet LTDA,7.46,189.1.171.11,0.0,26.12,956,5.53,5.48,0.1,5.58,,
STPTshazcjH6cZMHzQBrggFSPHXYCTRGB7ctqS1AjkH,STPTPuWoyKzbWawom5DBndxkeRFAjW4PzJ2EjL1qeMW,Solana Portugal,591,82461.31081550101,0.02,0.0051,5,True,0.0,3.1.13,False,0.0,0.0,94.07,99.5,61.73,False,741.0,215,Cape Town,South Africa,AS329303,Splizr Networks Pty Ltd CPT,0.2,102.211.135.175,0.0,0.2,956,5.4,5.72,0.11,5.83,"Validator run by Solana Portugal, supported by the Portuguese community.",https://x.com/SolanaPT
GBQ2GvTzmjXMu97dr7WUnLKYTNim1aoZsYS53KYXAAAA,AuGwcQWqWuNbnrkgERSp8VN6kZeJiM4AZuLMrwbkzg9m,Bitwise Onchain Solutions | Jito BAM,592,2658290.1921889693,0.63,0.1637,5,True,500.0,3.1.11,False,0.0,0.0,99.32,100.0,61.37,False,932.0,24,Amsterdam,Netherlands,AS60068,CDN AMS,1.4,63.254.166.74,6.08,19.08,956,5.71,5.74,0.1,5.84,,https://bitwiseinvestments.com
DrifTrN923QaouP89UxkQzFGbumKPCnfkNYQRwmZxatz,DriFTm3wM9ugxhCA1K3wVQMSdC4Dv4LNmyZMmZiuHRpp,Drift,593,2868746.709784666,0.68,0.1766,0,True,0.0,3.1.13,False,0.0,0.0,99.68,100.0,61.26,False,517.0,439,Amsterdam,Netherlands,AS20326,TeraSwitch,33.25,63.254.166.74,6.03,19.03,956,6.02,5.94,0.11,6.05,Drift Protocol is a full service decentralised exchange specializing in the trading of perpetual swaps. Powered by a first of its kind AMM and orderbook hybrid and engineered with resilient guards for capital protection.,https://drift.trade
9W3QTgBhkU4Bwg6cwnDJo6eGZ9BtZafSdu1Lo9JmWws7,GqcuMuWq4gKeCuCrD8iAjXTozCET2EP6qJXmZDFsSTWK,Coinbase 03,594,2686418.263842498,0.63,0.1654,8,True,800.0,3.1.13,False,0.0,0.0,99.5,100.0,61.15,False,711.0,245,Shinagawa,Japan,AS20326,TeraSwitch,33.29,63.254.162.99,0.28,2.16,956,5.53,5.55,0.1,5.65,"Coinbase maintains world-class, enterprise-grade staking infrastructure across multiple networks with zero slashing events and a 99% uptime guarantee.",https://coinbase.com/staking
3tzpLMWRkWucvTRWU5PjgKzN1iwJuV69yCCjmuuo4gTk,GrefCNn5jSbcWv3uiervqZiCC87F8oX7PXz9LEBiog6s,TruFin by Twinstake,595,195966.91582569102,0.05,0.0121,4,True,400.0,3.1.13,False,0.0,0.0,99.33,100.0,61.15,False,659.0,297,Amsterdam,Netherlands,AS20326,TeraSwitch,33.88,63.254.166.74,6.66,19.66,956,5.77,5.74,0.1,5.84,,
Sh1ro1CaaVjNuihgNK6kay7jwcWzSqD2fdix6RNPaSh,Wh1teWn8PVimrF5FLJyrPzwzCFx5adGqjsWoTaLGsKK,,596,48301.528763566006,0.01,0.003,0,True,0.0,3.1.10,False,0.0,0.0,99.5,100.0,61.13,False,842.0,114,Frankfurt,Germany,AS395201,Allnodes Inc.,6.65,206.223.230.176,0.0,26.19,956,6.02,6.05,0.11,6.16,,
THE1CosYJD9F1eBq53Fg4MZYZa5WrPUf2RQU5ZHnfEj,THEVb5dS9gHYnr8eu2FHCprjnyp3uqmHNofUXD8MCQp,Theia,597,38969.466226829005,0.01,0.0024,5,True,0.0,3.1.13,False,0.0,0.0,99.33,99.96,61.04,False,798.0,158,Frankfurt,Germany,AS395201,Allnodes Inc.,6.65,64.130.41.137,5.72,26.19,956,5.71,5.74,0.11,5.85,Theia is an investment firm that partners with companies building the internet financial system.,https://www.theiablockchain.com
BiGcsiuFCLuiTzXoQgfLdge9sfpwr55YzdT8Kp7bCXmS,G8hvpQDLe7hGgYtWYt4TJJEbGbgLFCBJYiMi9pMD9Kk2,,598,104584.89115295601,0.02,0.0064,0,True,0.0,0.817.30110,False,0.0,0.0,99.5,99.97,60.9,False,649.0,307,Amsterdam,Netherlands,AS20326,TeraSwitch,33.9,64.130.42.138,5.06,19.68,956,6.02,5.95,0.11,6.06,,
GoeW4aFK4dGoekJySgUynWDxBZiQJqm8GDAF4H53tDK9,Ak5BJzQe2R8qFuyYmaAFPjXuD7XPux3ZNTv52D7rfiqR,Twinstake,599,3043052.115687372,0.72,0.1874,10,True,1000.0,3.1.11,False,0.51020408163265,0.52083333333333,99.32,100.0,60.53,False,357.0,599,Amsterdam,Netherlands,AS214434,Twinstake LTD,0.0,64.130.42.138,4.37,18.99,956,5.4,5.4,0.1,5.5,Twinstake is an institutional-grade non-custodial staking provider,https://twinstake.io
mrgn4sJJu5GBa5wbKyjuASzhyCifvcedGoLtpKjB3Wf,mrgn4t2JabSgvGnrCaHXMvz8ocr4F52scsxJnkQMQsQ,Project 0 Meridian,600,78385.588595918,0.02,0.0048,0,True,0.0,3.1.13,False,0.0,0.0,99.68,100.0,59.85,False,614.0,342,Frankfurt,Germany,AS20326,TeraSwitch,33.91,64.130.41.137,5.71,26.18,956,6.02,6.05,0.11,6.16,Powering Your DeFi-Native Prime Broker,https://www.0.xyz
scs1NCSTafrUX6RBx113B9YDCepo1QdEzU8WwEkf25i,2zxo26eJJSryYa5fdMRoWWvPTx8aoeqZHe6L4767sCaN,,601,57541.12538459001,0.01,0.0035,10,False,0.0,3.1.14,False,0.0,0.0,99.32,100.0,59.56,False,539.0,417,Shibuya City,Japan,AS396356,Latitude.sh,7.53,109.94.99.167,0.0,0.52,956,5.4,5.42,,5.42,,
4kL5QD8ir5CvkuvCUnQhBDuWhq3Xfnz3UfQLt4CqPQZQ,BARLL1NvF3jPHQ3zb82q1v5m6uewcpkgRBYVNufQMWjo,Swyke | ISO27001,602,53361.313292118,0.01,0.0033,5,False,0.0,0.818.30111,False,0.0,0.0,99.32,96.46,59.36,False,299.0,657,Tallinn,Estonia,AS214132,NV OU,0.0,185.170.59.17,0.0,0.0,956,5.71,5.71,,5.71,Swyke is an ISO-27001 certified institutional grade validator registered with VARA (Virtual Asset Regulatory Authority) and AAA rated by Staking Rewards,https://swyke.ai
2dfgsiSaZ51QYPsECMYMG247PXxyKdwkV9wTHoQb8YEC,NDf9Pv6TAxTDPR6ud3djsd2Ux1WS2m2YfTw4qEmSnQH,Astraeus,603,355408.64435686,0.08,0.0219,5,True,500.0,3.1.11,False,0.0,0.0,99.33,99.97,59.31,False,291.0,665,Amsterdam,Netherlands,AS20326,TeraSwitch,33.84,64.130.42.87,0.0,19.62,956,5.71,5.72,0.1,5.82,,https://example.com
5429ouKuzSkH8TV5GULMLtqkEGnJ7H6RsfhDLyscqXoB,HwYTVzrz6oB5exDihSKaoYAMaicZ1nLv859AS71C16W7,,604,0.002008887,0.0,0.0,3,False,0.0,3.1.13,False,0.0,0.0,99.68,100.0,59.19,False,936.0,20,New York,United States,AS262287,Latitude.sh,2.0,64.130.42.138,5.09,1.08,956,5.83,4.4,,4.4,,
2mMGsb5uy1Q4Dvezr8HK2E8SJoChcb2X7b61tJPaVHHd,CAf8jfgqhia5VNrEF4A7Y9VLD3numMq9DVSceq7cPhNY,Chainflow,605,470769.839962547,0.11,0.029,5,True,1000.0,0.820.30113,False,0.0,0.0,99.68,100.0,59.19,False,67.0,889,Frankfurt,Germany,AS20326,TeraSwitch,33.82,198.13.140.81,0.0,26.09,956,5.71,5.74,0.1,5.84,Chainflow + MEV,https://solana.chainflow.io
23U4mgK9DMCxsv2StC4y2qAptP25Xv5b2cybKCeJ1to3,J1to3PQfXidUUhprQWgdKkQAMWPJAEqSJ7amkBDE9qhF,BONK - Powered by Jito,606,102983.445966654,0.02,0.0063,3,True,800.0,3.1.13,False,0.0,0.0,99.32,99.93,59.16,False,325.0,631,Frankfurt,Germany,AS20326,TeraSwitch,33.9,64.130.57.242,6.02,26.17,956,5.83,6.05,0.1,6.15,The BONK validator is Solana's first Dog Coin Validator. The validator is operated in a secure facility by Jito Labs. 100% of commissions and MEV earned will be used to buy and burn BONK,https://www.bonkcoin.com/
CW9C7HBwAMgqNdXkNgFg9Ujr3edR2Ab9ymEuQnVacd1A,6D2jqw9hyVCpppZexquxa74Fn33rJzzBx38T58VucHx9,Coinbase 02,607,2315604.39688325,0.55,0.1426,8,True,800.0,3.1.13,False,0.0,0.0,99.5,100.0,59.05,False,421.0,535,London,United Kingdom,AS20326,TeraSwitch,33.38,64.130.63.16,4.33,7.95,956,5.53,5.55,0.1,5.65,"Coinbase maintains world-class, enterprise-grade staking infrastructure across multiple networks with zero slashing events and a 99% uptime guarantee.",https://coinbase.com/staking
dzBhD4wikyy7xqwiJvT49gdrKqWVjfs9M6cTssmRX8Y,dzufrE42PJjNNRBstdmunAdeDToDA3Cax6WDpFVj36Y,IBRL,608,26376.681767667003,0.01,0.0016,5,False,0.0,3.1.13,False,0.0,0.0,99.5,99.59,58.92,False,775.0,181,Dallas,United States,AS20473,"Vultr Holdings, LLC",3.04,45.76.239.188,0.0,0.27,956,5.71,5.74,,5.74,Increase Bandwidth Reduce Latency,https://www.ibrl.top
9AW87WqARQonyJYhx1G25fKfvjURFYVmHs79z1NUXDPD,2NXwP6K1ityVnvK575SY7KdoEkvPHrfcRLY7BJRBk4ht,🔥Aurora staking,609,262723.967743162,0.06,0.0162,0,True,0.0,3.1.13,False,0.0,0.0,99.51,99.81,58.89,False,798.0,158,Amsterdam,Netherlands,AS20326,TeraSwitch,33.86,63.254.166.74,6.64,19.64,956,6.02,6.03,0.11,6.14,,
JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,3JD3jMmnR6g88qff2WZ3cMHJRjJMUk9yVZtmYTYeFrXf,Forward Industries,610,6839444.540777503,1.61,0.4211,0,True,0.0,0.819.30111,False,0.0,0.0,99.68,99.96,58.75,True,847.0,109,London,United Kingdom,AS400963,Galaxy Digital LP,1.83,86.54.152.250,0.0,6.89,956,6.02,6.04,0.11,6.15,The World’s Leading Solana Treasury Company.,https://sol.forwardindustries.com
DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g,binance staking,611,12018921.998305881,2.83,0.7401,0,True,0.0,3.1.13,False,0.0,0.0,99.68,99.97,58.57,True,253.0,703,Ashburn,United States,AS14618,Amazon Data Services Northern Virginia,0.0,64.130.35.74,1.8,0.25,956,6.02,5.99,0.11,6.1,,https://www.binance.com
EtoMApqP2h1vVm9XLTTp5HERNezm5btkqrdAGQ9fZRnp,7HhmcAGzjChFjG1qsN4Y9NPgDWfytXXVA7ZRBWE7eZc3,O'Solemio,612,16432.020975027,0.0,0.001,5,True,0.0,0.820.30113,False,0.0,0.0,99.68,99.97,58.43,False,290.0,666,Frankfurt,Germany,AS395201,Allnodes Inc.,6.66,45.139.132.153,0.0,26.19,956,5.71,5.73,0.11,5.84,"Come, come ye solanians. Let solana takes us to the moon.",https://keybase.io/sxk0160
6WgdYhhGE53WrZ7ywJA15hBVkw7CRbQ8yDBBTwmBtAHN,6aow5rTURdbhbeMDrFrbP2GR5vZjMEhktEy87iH1VGPs,Luganodes,613,2504357.949663795,0.59,0.1542,10,True,800.0,3.1.13,False,0.0,0.0,99.33,99.95,58.03,False,356.0,600,Frankfurt,Germany,AS29066,JustNodes,0.32,64.130.57.242,5.45,25.61,956,5.4,5.36,0.1,5.46,Leading institutional-grade blockchain infrastructure providers,https://luganodes.com
scs2Ra91pMbvqFAP7uitrN5U25SoyBTqZgBbhpVMJko,BjREhubbyR597w8tK9NUCLY74Zct2VuhvrNhyLinVc2e,,614,57441.95423054,0.01,0.0035,10,False,0.0,3.1.13,False,0.0,0.0,99.32,99.95,57.81,False,539.0,417,Dallas,United States,AS396356,Latitude.sh,7.53,67.213.118.73,0.0,0.26,956,5.4,5.43,,5.43,,
5ZjxMYBbnKd4VFxLjAChSWMTeQ96147HnxZvQJxUseHV,8B2Z2R8dRvqFcXuLBwinu3Jq7HQidCaJCnDuRRqeJLC1,Watatsumi Validator,615,81072.02001235001,0.02,0.005,0,True,0.0,3.1.11,False,0.0,0.0,99.4,100.0,57.75,False,349.0,607,Amsterdam,Netherlands,AS20326,TeraSwitch,33.91,63.254.166.74,6.68,19.68,956,6.01,6.05,0.11,6.16,,
