slot,front_sig,back_sig,front_signer,back_signer,front_program,back_program,front_sell_amount,front_buy_amount,back_sell_amount,back_buy_amount,victim_count
408902006,37RiCD17jnWXVgezREXWRQSm5hLy3C8G6Vfrt2GbAomWSq23KwWAKxN5WmXKXY55HdFZYpcsQbAzKxfBrYfcGM8P,4QVDPqxhK9uE1t4vbT11Wuq2DtSpz8LPAtezE2VZYgjdpEWzkVMK45hhPWinLVdBTrbkKWaPFAMAwJammG4H1n5n,4hASKAobJourFvMS5SktVhB8B4mnPXUzekdS3ihm1VGg,4hASKAobJourFvMS5SktVhB8B4mnPXUzekdS3ihm1VGg,8jXneHCUpbGQpSmSz9TgJhhXCW2vJyzbtXZLT9xrLyon,8jXneHCUpbGQpSmSz9TgJhhXCW2vJyzbtXZLT9xrLyon,7.590,"68,166,160.","68,166,160.",7.861,1
408902215,3kuVLsUTTvvBYJKLjeaeceDNZKu8GtR7LoKGMxrBMx4eTQ5KBWZ3CLe5RCVr7Rn1m5pCBGufM8EfEuLqvQudLR3y,5UJfJqqQjyjB7sH9qryYCTjzxYLRovc5CcUFdodMqhJHZTVPHUZvGpGFa1G1rUt9nnPgf6ndMQMWa9PkuNFsPitb,HwGqFnPY6H2sGFoDUMYqr63geoR6Tb8yrfnKGLMnARzj,HwGqFnPY6H2sGFoDUMYqr63geoR6Tb8yrfnKGLMnARzj,AashzqaMCticMeNjQ8agSKCK1Nopzh7f95e48zZBQnTo,AashzqaMCticMeNjQ8agSKCK1Nopzh7f95e48zZBQnTo,0.263,"1,497,746.4","1,497,746.4",0.269,1
408902303,4F7BXUAmFXFfkfDE1Q4MNVSJ233uS5VAGnhMNuYUsbRrnVgDfVej5KP4Y5e3uiVuN3xXxPfgDVQV96RU111pzdEn,5ja25a5WvHexswC3Y1EBCiwzKu1gWLTGqwV59bXBetVXvamsDrZrU6mPhUAxJuBKN7VtcgFpPUNqkEMLP3hNS35g,JBVgTLpTFi6ycWMR5zKMgVpLAWdPQv8RRvbt3jG9MVSz,JBVgTLpTFi6ycWMR5zKMgVpLAWdPQv8RRvbt3jG9MVSz,CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C,CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C,0.04,"21,390,278.","21,390,278.",0.0527,1
408903050,49of9UYvPZkNWsikHgcwr6m1NnDzFESaZGiPjrjDj2WBCVfjLuCdbQGJfcz6kzVftJq1e9jmAL4VNDdtccDrHjpn,4Tkr4Bf7WaDYtoLK82SXbmEpLyhPvukUzEygQZ4yyqyn4Pyi8eC6fBdUrraeYsnduf7J6W1uJARENxh7zgxXZQ2K,BRAywUXHzo6f7V8gmvBT7aABknQXEJBqMqyCQVGynB9w,BRAywUXHzo6f7V8gmvBT7aABknQXEJBqMqyCQVGynB9w,Bgo4vNe3vxRv37j8mmQarJo8vbjHEKgkhJDZzxiizBid,Bgo4vNe3vxRv37j8mmQarJo8vbjHEKgkhJDZzxiizBid,0.991,"398,757.22","398,757.22",1.025,4
408903644,3gSFThpoFwobu5dmkXBpUTmkFRV6nmVGTUKC6bipK5w9yBWnRsvUyEZo2rx9N4nf8aW2JiQCyXR1ePkqTGzMAZLv,4gZFaazD5PUhG6kn3EGGRXueebvxuFcQasjXPBvZMi1gV4RUs3Ti531uKSew5KnBdEo5dmJRwD6WenBG7ShDKGvV,E45YLW6LV2GdvPu4HgpBMZF4veGmUqbK6hs2W3ykx2s1,E45YLW6LV2GdvPu4HgpBMZF4veGmUqbK6hs2W3ykx2s1,EpjnUueXY3MmZZw2n8FobumsJpZN6kTUB8mREr2SKXRW,EpjnUueXY3MmZZw2n8FobumsJpZN6kTUB8mREr2SKXRW,0.99,"2,165,771.5","2,165,771.5",1.043,5
408903646,4V69QjHRJ5ukD1cFStoaAsvvqxB1dHrGenPPLMDjGHWo3DgSNfcRq7NeUPg1HJmz7X9xa137bJdGyLgw4duRTozL,3xrwTuaUwHhVmAYKXUxqQoqf5BUoiMvYfXHQmcLSHYjygbSQR9P1S9zkqndQv63mX7u2CrdL1vkZYsJeahqCL6d6,9oieEBu7gprdMmWrSKQFMk48DiCa3AH2edY2eZn8ortJ,9oieEBu7gprdMmWrSKQFMk48DiCa3AH2edY2eZn8ortJ,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,knc2oZyHT5fnbUCvA2QiovgMoaJUYjALamMMUomSCkg,0.638,"9,989,896.8","9,989,896.8",0.743,4
408904215,3D85pZSo5FohwFgrH1i1SSVVumbvz5qKnLYwryEuS9XDaU7KcsJaFfmAuWxqizEupGwJMSKs7Qho2sax3paEigga,3eQdYUnREWrpDR9au233eKGpJcnDLZwxkn1mWttgcF6T2EvQZnYTWC6JfG9LzcuKH9izP4ZRbjmi4LXFsRVWHKSC,E45YLW6LV2GdvPu4HgpBMZF4veGmUqbK6hs2W3ykx2s1,E45YLW6LV2GdvPu4HgpBMZF4veGmUqbK6hs2W3ykx2s1,EpjnUueXY3MmZZw2n8FobumsJpZN6kTUB8mREr2SKXRW,EpjnUueXY3MmZZw2n8FobumsJpZN6kTUB8mREr2SKXRW,1.068,"1,911,180.6","1,911,180.6",1.113,6
408904292,yruuyE36ZprMNCXgG26YyFwtY5giazgGWg5SDUGt8NkqdJMscc6z9vR8vEYWWEgbhKRyH9vJWAAmYC4kAcVqmur,mXvoShjq2gfbqMegjZxgLvjKRpBSc8PFeZToLFFbAXTsuv163FCbeyst8Q74D6xZ4fNFj4MccSDwhNsTu6onZ7X,G6gFXBcLa4uEbEWoUhhP8CzMza4PjRk7G72XMXxfdwxq,G6gFXBcLa4uEbEWoUhhP8CzMza4PjRk7G72XMXxfdwxq,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,0.365,"8,526,657.1","8,526,657.1",0.435,2
408904589,3kNurrUTvAZMgesc82EPMcHNYW4ULnNuRBpdmVVte7LCyjHC2zppG5D9iuwp91yzeMoGW9V9FJn4Ht7ZGKQg8nu6,2X2VS2Hr9xDUtYFdFXk7uKEjjLu9rrs24hQS6TwvxnRAwQwkfc1Hw6rQEX3h7MT99FMVZUunMDL77kMAVPZAH4zg,B5RFGZHM5fgBa6CjEAhG6trQi4mHKsEnCBH9VApu9GVp,B5RFGZHM5fgBa6CjEAhG6trQi4mHKsEnCBH9VApu9GVp,FAdo9NCw1ssek6Z6yeWzWjhLVsr8uiCwcWNUnKgzTnHe,FAdo9NCw1ssek6Z6yeWzWjhLVsr8uiCwcWNUnKgzTnHe,0.0845,"2,410,446.9","2,410,446.9",0.0851,1
408904652,2ngqwK41GscYPEKtJSmfQgavFrQUojaM5totCeuzxF11mnGpJNSiZZLxa3QYsWqKhKVSjN9o92gGPVWA23UQbMaP,3jK2CScW8Gv3CDoKVjh291Ximx4vHTyQRLh8pv5E23d6ibTbjvtFeMnd7jQE8oAy9ynB5MNtmZ1QVBQXn3E4xJMm,DDm1Bc9KuXB7Q2UbxyMRLGmbcV2J93xmiWDPt7Edhqbs,DDm1Bc9KuXB7Q2UbxyMRLGmbcV2J93xmiWDPt7Edhqbs,EumFF6mx6mTPW9VSJsPmrmqgLF9amvzKwXfQfyrkwMTH,EumFF6mx6mTPW9VSJsPmrmqgLF9amvzKwXfQfyrkwMTH,1.131,"26,663,653.","26,663,653.",1.166,1
