front_signer,epoch,n,victims,usd,fee_sol,usd_net
GpzaGyv8X4kCGKZzH51UiyPmjtzAQp8HiHkNrNsTKjDe,961,2,2,2205.90571410692,2e-05,2205.90411410692
BDJn72sEGxfmpQ7RLNdvGhKDJzDJUP1nVCzAxXChBmjR,976,2,2,0.0,2e-05,0.0
BauRxBPGye5ujgjFDKShBfQJNVTX8zmEgieypgruHoXh,961,2,2,886.3588277340424,2e-05,886.3572277340423
BqJc8eCs1SSLboYSsgEGZRYKAgeaA5ZPqpHbFtTx2Zwp,961,2,2,2788.4547143368754,2e-05,2788.453114336876
BvkrGmsCA7xN2rt7pjgxfRiYzfLJmffRtqyatMT8rESJ,973,2,2,7.856062098225323,2e-05,7.854462098225323
4gGvvLVp5ENLRpy9ztzRGZybE23QxAwYREY3bvnYVuSi,972,2,2,24.183260719999993,0.000314,24.15814071999999
D6uitMTYCw9LbQLwtXq9mR8W6yVUnoV6NqorwL3x6qmx,971,2,2,20.487555999999962,0.000314,20.46243599999996
Dnp6YsW8r9k1XJa2fhe9GJcqhBzJrFaeYyjWxkgv8WQY,990,2,2,27.817623759999996,0.000314,27.792503759999995
DnJE4VTXEnQt3Y6E1xcG4TPSV4VBNihPuNkFRiRYak1U,961,2,2,3080.0341313427266,2e-05,3080.0325313427265
Ers9w8Gsc76XnrkjAR8sSR5m5wTGaApGPbDeRtMj53wD,962,2,2,26.16189048000031,0.000314,26.13677048000031
EZpuurPEZvYYP2Y36utEuUF3NNG12p8LekzpPt26kg4d,975,2,2,7.62694687999983,2e-05,7.62534687999983
EQptfVxsqSKYSZss2VGJyrvjW6KQeGnt5NFxYR9HPxL9,961,2,2,1071.0814266755908,2e-05,1071.0798266755908
37P9hU92gs7PHRnXxjd8SUC8Mx2WzJzdwJnqTYLmLbdZ,961,2,2,2325.557528543366,2e-05,2325.5559285433665
2YMM3oZ9g6Dw4MBbj7yHQ9EaKRAKstDTMdPBk3LmH7hD,952,2,2,115.04700208000006,0.00042,115.01340208000005
Fhkw1Cf346kZqyH19FtSwkvyqJr5ZADKF9ZJkK33KKa7,972,2,2,25.119457360000013,0.000314,25.09433736000001
FT3gXM7CjL1rYfoRoBmjgPGb2bqtYv2AwsTHXE7L8evV,960,2,2,39.292822240000014,0.000314,39.26770224000001
EzDwGWTJ6G5rng9oxLYo3eaLqHNb1Ps6pKhnEBRv5N2B,961,2,2,2178.1754298663554,2e-05,2178.1738298663554
5d63gEVf9uobtzXJLS1P1oiPpWSRjcnntc18TgoSPLm,961,2,2,1782.178866397799,2e-05,1782.177266397799
686jhdvnPNhwF2xwLzRkKPyLQkaKKVLESopL9FwpxJ7z,961,2,2,886.231972923485,2e-05,886.230372923485
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,977,2,2,35.54052031999962,0.000314,35.51540031999962
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,975,2,2,35.00422839999999,0.000314,34.97910839999999
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,982,2,2,22.936500080000002,0.000314,22.91138008
9pJz7eb8KiydV4ExQHsPVBXyBuNAhh7XHUuKUbyD1nKq,961,2,2,2040.7217754021924,2e-05,2040.7201754021924
8FxCBBgkfmCPwHqaWj1XWTNw17ZAfzGtTtikSKp3fcBu,961,2,2,2482.8093625651463,2e-05,2482.8077625651463
9HnLEXAahZShWiZL9TqPy6CaKMEVUEySpRnFhq3ukc5T,961,2,2,2141.219069704188,2e-05,2141.2174697041883
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,957,2,2,39.39674663999973,0.000314,39.37162663999973
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,958,2,2,35.63415152000033,0.000314,35.60903152000033
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,963,2,2,35.92409487999973,0.000314,35.89897487999973
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,965,2,2,37.240370719999696,0.000314,37.215250719999695
H7MMnGZ1WHoW39j2LEeVwUBsNMEqpY2HJxopqRbqRvMJ,973,2,2,2.2238403285276958,2e-05,2.222240328527696
HD2Jes157CjwSDFMfU4NcXPkvj45AFzeZFH9ZQt9iUFw,961,2,2,2012.7357971897345,2e-05,2012.7341971897345
djgeULFJxGNqHWc2kAt2h1ttpWNzBgy1Y6W3vK8LJra,961,2,2,2235.926594290171,2e-05,2235.9249942901715
JBn2Y9BSeQWbsF6ba72q7LJCxfvV1zN4moUh2hbFeTfG,973,2,2,25.758483520000013,0.000314,25.73336352000001
27ab1ToVdtTLZW9Tm7vHbHtwUSVEjU9zZRyZmeJc8wRK,973,1,1,12.9352461830447,1e-05,12.9344461830447
27ab1ToVdtTLZW9Tm7vHbHtwUSVEjU9zZRyZmeJc8wRK,974,1,2,59.33289071850561,1e-05,59.33209071850561
JBvYQSpdrMXksDWYpPU1Phj9ik6zguT2XPodgekxHguu,961,1,1,10.843501680000323,0.000157,10.830941680000322
JCNiXJNFqCNwoR9nBxaCMSN9VnG2tpPaZFPV16Z7x5tb,960,1,1,12.945107760000276,0.000157,12.932547760000276
K8g9CfV2MPasVN6EqHmC2mB2464T5MhQMMJNXtR4hQG,961,1,1,12.43984544,0.000157,12.427285439999999
Nu15yR69ZCjrfxNkLGUsYas9vnmDswW7n61JF3XHwyi,976,1,2,0.0,1e-05,0.0
QPMXTBmx6Ht4PvdD3suaodrQCk95zCTBxzCEUWszBUA,957,1,1,10.903675039999676,0.000157,10.891115039999676
QyS1YUSL3wdwKxTiCWmqNBjmfDPFk59audzTSB1bCDA,962,1,1,11.327345520000023,0.000157,11.314785520000022
UA1RrYyZiFMbk2H4dxZYe7B5CEGUecYFiAnERbhWMZs,969,1,1,11.751909280000028,0.000157,11.739349280000027
YLizzozrt3SY9mjdYKpxsLQHqnSM6DFv9aPi8QNWEoD,970,1,1,7.784649600000009,0.000157,7.772089600000009
ZNqFNkLAdqNCxvpV3PJirY8ia1pUk4XkvFbhpSgZsUP,975,1,1,10.132695600000012,0.000157,10.120135600000012
hpXnmErwUZdrJ6wgydvpGW4vpCrv9Jg7av6nBCmVHdg,970,1,1,13.161146640000005,0.000157,13.148586640000005
jLaMEv63idbQsBzpcCR5Du8DRmRqJQyX6gTkfRyaBLo,961,1,1,888.2310649536186,1e-05,888.2302649536185
2c1gCK8AbaNch2kbxtQCD4GVt8KPVwCvweobkcKkKN33,961,1,1,1127.250647918624,1e-05,1127.249847918624
2fk9ZgyBaTeobvCbBQvDkUWxQ64cR9Y3tJYzCTKSL28T,959,1,1,14.069998160000274,0.000157,14.057438160000274
H25zzFh5MHbJgd97RQFwyKuFLCSLrpfYgqocqsA1B3ty,980,1,1,2.219341999999642,1e-05,2.2185419999996423
