front_signer,epoch,n,victims,usd
DRJgsgSMZVQtb3mQuER8tG9BErrFdk14cMyjdYowVy3f,958,1,1,-0.002006965292115151
DS6SKxczPTSZ7mBzN9ZT4xPeLi4CkrDtBmHkQHoUf8fj,947,1,2,-0.008260303915234024
DSRmQVHCbg8fTyxDchxJGzH3nKatinEy81eQqpTqT55M,952,1,2,0.014673740318265072
DTL3n8YJaz5v4PvvLyusCMn82HY7cbjB4hEVp9igYgni,959,1,2,-0.04279470659663831
DFiVAG7LjfqSVi4CDPhEYvkyXpXGeYRgpuurvhC2AmPy,959,1,1,13.839033520000008
EY87fDwbQkUsdv9ybW5bLfrbYeFJ1FQncxzVGGxZVQsF,958,1,1,-0.0474136492706867
EZ8cFa3uaFEYcakjRMtLyTexKdm7QPVKn4TSuSHMCwKe,957,1,1,-0.045830082784561466
Ea2whYmpUDEWv7Lqrawqm26tWfaAhK6PEdtZdZ37GrNb,957,1,1,-0.03302375252075329
Ea3sjmj2WT5RzM3un82jL8E8qc2BKiN6aHaTL7z3uiap,956,1,1,-0.20055424781878273
EdEEH9kCsVo3ec8NABFBDp9JwqFFd2fYKws6eEBF433v,960,1,2,-0.01953371561625783
EdjYGawtRoTdE4AhfQroebjA2uNBSuc1Zp2kRJhifGgt,951,1,2,-0.2519244635415063
Eeg4QTByAeYhurn7vCLF6ebBGtwZvoP7BEwRXw63qBZ7,957,1,1,-0.02531611941846923
EhqerZf8FVYVAHMdwVPw8VpYSmGwauLVT4biXu4qMnKb,957,1,2,-0.3494669145043616
Eir8VE7kkMw3mkF2hsmX89oaME9ryVv4gtooHMtTTSHG,960,1,1,-0.023071651640897972
EjqUuQ3WMQSuJCZ1cT8vmzTrJp49hpw4sRkVgPofzVXu,958,1,2,-0.0029425217369549728
EoE8xaopSJ8LNVM6ggv5pGgdimTtcK37vxWh3jFFxYu5,957,1,1,-0.11835302851724183
Dys8CruMNGTUToYTVEEk4tLBL9u7HSGcSEGeZzUoXUjk,958,1,1,-0.03437676663796463
ErfwdCL7LYAWmEZ2Lo9C7YNnuMWJwYyxaMTwm9th6scH,959,1,2,-0.025403879890045777
